,Lake,Allen,Marion,St. Joseph,Elkhart,Delaware,Porter,Vanderburgh,Madison,Clark,Tippecanoe,Hamilton,Howard,Warrick,Grant,Noble,Washington,Floyd,Kosciusko,LaPorte,Bartholomew,Whitley,Johnson,DeKalb,Carroll,Hancock,Jackson,Henry,Miami,Tipton,Clay,Monroe,Hendricks,Jennings,Cass,Daviess,Huntington,Jasper,White,Spencer,Vigo,Marshall,Clinton,Lawrence,Dubois,Montgomery,Putnam,Wayne,Parke,Benton,LaGrange,Rush,Starke,Knox,Fulton,Morgan,Gibson,Franklin,Wabash,Boone,Martin,Randolph,Harrison,Owen,Jefferson,Decatur,Shelby,Fayette,Brown,Pulaski,Adams,Newton,Orange,Fountain,Perry,Warren,Steuben,Blackford,Crawford,Posey,Dearborn,Pike,Greene,Sullivan,Scott,Jay,Wells,Union,Switzerland,Vermillion,Ohio,Ripley
1800000000000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.40639802643e-10,0.0,0.0,0.0,8.83106992782e-10,0.0,0.0,0.0,0.0,0.0,1.95339623367e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99999990158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999992974,0.0,0.0,0.0,0.0
1800000000000045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43957240434e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04368929915e-09,0.0,0.0,0.0,0.0,0.507070777807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34991998779e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.23990226163e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1800000000000050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.461131513653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.36943539881e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.999999995994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36251158541e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02089174556e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7254170000003901,0.0,0.0,0.0,1.41411598532e-08,0.33288195418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.93166716647e-09,0.0,0.0,1.39685865616e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.37513768877e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1800000000000046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.37909289675e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.492929198059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75690049828e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66286692087e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43367446428e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1800000000000057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17227328334e-08,1.62379333749e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999683226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.442376272881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34226918836e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7254170000009900,0.0,0.0,0.0,0.0,2.61013548212e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79402642384e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.792274728805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.87010209016e-09,0.0,6.34109667459e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7256650000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41227851389e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699177448261,0.0,1.94668810505e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.57986482835e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.801344960273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1820030000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494768456353,0.0,0.0,0.0,0.0,0.0,6.20934667477e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.34591520384e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.44651873592e-11,0.0,0.0,9.82979912755e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1800000000000028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21019044935e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88090295964e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32146994724e-09,0.0,0.0,0.0,0.0,0.0,2.93037230869e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
